set_number,name,theme,piece_count,image_url,release_date,retirement_date,status,date_confidence,source_url,source_name
10328,Bouquet of Roses,Botanicals,822,,2024-01-01,2026-12-31,available,estimated,https://www.lego.com/en-us/product/bouquet-of-roses-10328,LEGO
10329,Tiny Plants,Botanicals,758,,2023-12-01,2026-12-31,available,estimated,https://www.lego.com/en-us/product/tiny-plants-10329,LEGO
10341,NASA Artemis Space Launch System,Icons,3601,,2024-05-18,2027-12-31,available,estimated,https://www.lego.com/en-us/product/nasa-artemis-space-launch-system-10341,LEGO
21061,Notre-Dame de Paris,Architecture,4383,,2024-06-01,2027-12-31,available,estimated,https://www.lego.com/en-us/product/notre-dame-de-paris-21061,LEGO
21349,Tuxedo Cat,Ideas,1710,,2024-06-01,2027-12-31,available,estimated,https://www.lego.com/en-us/product/tuxedo-cat-21349,LEGO
42171,Mercedes-AMG F1 W14 E Performance,Technic,1642,,2024-03-01,2026-12-31,retiring,estimated,https://www.lego.com/en-us/product/mercedes-amg-f1-w14-e-performance-42171,LEGO
43242,Snow White and the Seven Dwarfs' Cottage,Disney,2228,,2024-03-04,2026-12-31,retiring,estimated,https://www.lego.com/en-us/product/snow-white-and-the-seven-dwarfs-cottage-43242,LEGO
75379,R2-D2,Star Wars,1050,,2024-03-01,2026-12-31,retiring,estimated,https://www.lego.com/en-us/product/r2-d2-75379,LEGO
75382,TIE Interceptor,Star Wars,1931,,2024-05-04,2027-12-31,available,estimated,https://www.lego.com/en-us/product/tie-interceptor-75382,LEGO
76271,Batman: The Animated Series Gotham City,DC,4210,,2024-04-04,2026-12-31,retiring,estimated,https://www.lego.com/en-us/product/batman-the-animated-series-gotham-city-76271,LEGO
77092,Great Deku Tree 2-in-1,The Legend of Zelda,2500,,2024-09-01,2027-12-31,available,estimated,https://www.lego.com/en-us/product/great-deku-tree-2-in-1-77092,LEGO
31212,The Milky Way,Art,3091,,2024-05-18,2027-12-31,available,estimated,https://www.lego.com/en-us/product/the-milky-way-galaxy-31212,LEGO

